 14292 TRACE          task_state_est.c:206: Height 421.544: Velocity: -315.787
 14302 TRACE          task_state_est.c:206: Height 421.229: Velocity: -315.382
 14312 TRACE          task_state_est.c:206: Height 420.920: Velocity: -314.972
 14322 TRACE          task_state_est.c:206: Height 420.555: Velocity: -314.631
 14332 TRACE          task_state_est.c:206: Height 420.214: Velocity: -314.264
 14342 TRACE          task_state_est.c:206: Height 419.888: Velocity: -313.879
 14352 TRACE          task_state_est.c:206: Height 419.546: Velocity: -313.515
 14362 TRACE          task_state_est.c:206: Height 419.220: Velocity: -313.134
 14372 TRACE          task_state_est.c:206: Height 418.863: Velocity: -312.791
 14382 TRACE          task_state_est.c:206: Height 418.541: Velocity: -312.408
 14392 TRACE          task_state_est.c:206: Height 418.223: Velocity: -312.22
 14402 TRACE          task_state_est.c:206: Height 417.904: Velocity: -311.640
 14412 TRACE          task_state_est.c:206: Height 417.585: Velocity: -311.259
 14422 TRACE          task_state_est.c:206: Height 417.266: Velocity: -310.880
 14432 TRACE          task_state_est.c:206: Height 416.949: Velocity: -310.500
 14442 TRACE          task_state_est.c:206: Height 416.633: Velocity: -310.121
 14452 TRACE          task_state_est.c:206: Height 416.300: Velocity: -309.763
 14462 TRACE          task_state_est.c:206: Height 415.986: Velocity: -309.384
 14472 TRACE          task_state_est.c:206: Height 415.673: Velocity: -309.6
 14482 TRACE          task_state_est.c:206: Height 415.363: Velocity: -308.626
 14492 TRACE          task_state_est.c:206: Height 415.69: Velocity: -308.231
 14502 TRACE          task_state_est.c:206: Height 414.742: Velocity: -307.873
 14512 TRACE          task_state_est.c:206: Height 414.402: Velocity: -307.532
 14522 TRACE          task_state_est.c:206: Height 414.94: Velocity: -307.157
 14532 TRACE          task_state_est.c:206: Height 413.789: Velocity: -306.779
 14542 TRACE          task_state_est.c:206: Height 413.482: Velocity: -306.406
 14552 TRACE          task_state_est.c:206: Height 413.176: Velocity: -306.34
 14562 TRACE          task_state_est.c:206: Height 412.872: Velocity: -305.661
 14572 TRACE          task_state_est.c:206: Height 412.551: Velocity: -305.307
 14582 TRACE          task_state_est.c:206: Height 412.219: Velocity: -304.968
 14592 TRACE          task_state_est.c:206: Height 411.899: Velocity: -304.616
 14602 TRACE          task_state_est.c:206: Height 411.583: Velocity: -304.262
 14612 TRACE          task_state_est.c:206: Height 411.252: Velocity: -303.926
 14622 TRACE          task_state_est.c:206: Height 410.940: Velocity: -303.570
 14632 TRACE          task_state_est.c:206: Height 410.625: Velocity: -303.219
 14642 TRACE          task_state_est.c:206: Height 410.331: Velocity: -302.847
 14652 TRACE          task_state_est.c:206: Height 410.35: Velocity: -302.479
 14662 TRACE          task_state_est.c:206: Height 409.724: Velocity: -302.127
 14672 TRACE          task_state_est.c:206: Height 409.445: Velocity: -301.745
 14682 TRACE          task_state_est.c:206: Height 409.152: Velocity: -301.378
 14692 TRACE          task_state_est.c:206: Height 408.871: Velocity: -301.0
 14702 TRACE          task_state_est.c:206: Height 408.535: Velocity: -300.681
 14712 TRACE          task_state_est.c:206: Height 408.244: Velocity: -300.317
 14722 TRACE          task_state_est.c:206: Height 407.939: Velocity: -299.969
 14732 TRACE          task_state_est.c:206: Height 407.649: Velocity: -299.606
 14742 TRACE          task_state_est.c:206: Height 407.331: Velocity: -299.275
 14752 TRACE          task_state_est.c:206: Height 407.43: Velocity: -298.913
 14762 TRACE          task_state_est.c:206: Height 406.758: Velocity: -298.550
 14772 TRACE          task_state_est.c:206: Height 406.472: Velocity: -298.190
 14782 TRACE          task_state_est.c:206: Height 406.158: Velocity: -297.858
 14792 TRACE          task_state_est.c:206: Height 405.860: Velocity: -297.513
 14802 TRACE          task_state_est.c:206: Height 405.589: Velocity: -297.142
 14812 TRACE          task_state_est.c:206: Height 405.292: Velocity: -296.799
 14822 TRACE          task_state_est.c:206: Height 405.12: Velocity: -296.439
 14832 TRACE          task_state_est.c:206: Height 404.687: Velocity: -296.126
 14842 TRACE          task_state_est.c:206: Height 404.405: Velocity: -295.772
 14852 TRACE          task_state_est.c:206: Height 404.110: Velocity: -295.431
 14862 TRACE          task_state_est.c:206: Height 403.803: Velocity: -295.104
 14872 TRACE          task_state_est.c:206: Height 403.480: Velocity: -294.793
 14882 TRACE          task_state_est.c:206: Height 403.203: Velocity: -294.439
 14892 TRACE          task_state_est.c:206: Height 402.941: Velocity: -294.72
 14902 TRACE          task_state_est.c:206: Height 402.649: Velocity: -293.736
 14912 TRACE          task_state_est.c:206: Height 402.344: Velocity: -293.413
 14922 TRACE          task_state_est.c:206: Height 402.69: Velocity: -293.63
 14932 TRACE          task_state_est.c:206: Height 401.794: Velocity: -292.714
 14942 TRACE          task_state_est.c:206: Height 401.482: Velocity: -292.402
 14952 TRACE          task_state_est.c:206: Height 401.197: Velocity: -292.64
 14962 TRACE          task_state_est.c:206: Height 400.929: Velocity: -291.713
 14972 TRACE          task_state_est.c:206: Height 400.645: Velocity: -291.378
 14982 TRACE          task_state_est.c:206: Height 400.362: Velocity: -291.43
 14992 TRACE          task_state_est.c:206: Height 400.107: Velocity: -290.683
 15002 TRACE          task_state_est.c:206: Height 399.840: Velocity: -290.337
 15012 TRACE          task_state_est.c:206: Height 399.559: Velocity: -290.4
 15022 TRACE          task_state_est.c:206: Height 399.292: Velocity: -289.659
 15032 TRACE          task_state_est.c:206: Height 399.40: Velocity: -289.303
 15042 TRACE          task_state_est.c:206: Height 398.762: Velocity: -288.972
 15052 TRACE          task_state_est.c:206: Height 398.497: Velocity: -288.629
 15062 TRACE          task_state_est.c:206: Height 398.234: Velocity: -288.288
