,flight_sensor_id,signal_type,t,value
5152,ff1f6c69-0601-49a0-9bf8-11b0082debd7,pressure,5.789250943219057,[77718.26528035]
5153,e99c3424-957e-4c60-a8f8-821857457f32,pressure,5.789250943219057,[77719.90540054]
5154,f03e12b2-39f3-4039-b72b-3cfd3273083c,temperature,5.789250943219057,[5.0591546]
5155,7511b0fa-77ab-4ed8-8e20-11fa19c1ad84,temperature,5.789250943219057,[4.99291384]
5156,c3f011cf-9229-4dc2-904b-0f6a3e2fdf2b,temperature,5.789250943219057,[5.5082361]
5157,f9c9f80b-679c-41ba-a720-1d9d7fd54d4f,acceleration_x,5.79925094321906,[-9.7915252]
5158,54f15804-28c3-4b22-82df-d95b40b9a3d2,acceleration_x,5.79925094321906,[-9.72108882]
5159,cc6a95a0-bfd3-4cb0-88b8-00ad2bfbdd33,acceleration_x,5.79925094321906,[-9.36270676]
5160,a2cd99cf-32eb-47f0-845d-6b7d3515d298,pressure,5.79925094321906,[77708.18580892]
5161,ff1f6c69-0601-49a0-9bf8-11b0082debd7,pressure,5.79925094321906,[77705.99356149]
5162,e99c3424-957e-4c60-a8f8-821857457f32,pressure,5.79925094321906,[77703.75331894]
5163,f03e12b2-39f3-4039-b72b-3cfd3273083c,temperature,5.79925094321906,[5.14026789]
5164,7511b0fa-77ab-4ed8-8e20-11fa19c1ad84,temperature,5.79925094321906,[5.14067872]
5165,c3f011cf-9229-4dc2-904b-0f6a3e2fdf2b,temperature,5.79925094321906,[5.56637215]
5166,f9c9f80b-679c-41ba-a720-1d9d7fd54d4f,acceleration_x,5.809250943219063,[-9.80619127]
5167,54f15804-28c3-4b22-82df-d95b40b9a3d2,acceleration_x,5.809250943219063,[-9.5483189]
5168,cc6a95a0-bfd3-4cb0-88b8-00ad2bfbdd33,acceleration_x,5.809250943219063,[-9.42118729]
5169,a2cd99cf-32eb-47f0-845d-6b7d3515d298,pressure,5.809250943219063,[77686.40454277]
5170,ff1f6c69-0601-49a0-9bf8-11b0082debd7,pressure,5.809250943219063,[77700.89752569]
5171,e99c3424-957e-4c60-a8f8-821857457f32,pressure,5.809250943219063,[77699.58770166]
5172,f03e12b2-39f3-4039-b72b-3cfd3273083c,temperature,5.809250943219063,[5.61831529]
5173,7511b0fa-77ab-4ed8-8e20-11fa19c1ad84,temperature,5.809250943219063,[4.26614197]
5174,c3f011cf-9229-4dc2-904b-0f6a3e2fdf2b,temperature,5.809250943219063,[4.88401811]
5175,f9c9f80b-679c-41ba-a720-1d9d7fd54d4f,acceleration_x,5.819250943219067,[-9.62231193]
5176,54f15804-28c3-4b22-82df-d95b40b9a3d2,acceleration_x,5.819250943219067,[-8.81746337]
5177,cc6a95a0-bfd3-4cb0-88b8-00ad2bfbdd33,acceleration_x,5.819250943219067,[-9.02316197]
5178,a2cd99cf-32eb-47f0-845d-6b7d3515d298,pressure,5.819250943219067,[77691.74835497]
5179,ff1f6c69-0601-49a0-9bf8-11b0082debd7,pressure,5.819250943219067,[77683.21212545]
5180,e99c3424-957e-4c60-a8f8-821857457f32,pressure,5.819250943219067,[77683.22338258]
5181,f03e12b2-39f3-4039-b72b-3cfd3273083c,temperature,5.819250943219067,[5.42785283]
5182,7511b0fa-77ab-4ed8-8e20-11fa19c1ad84,temperature,5.819250943219067,[5.07369557]
5183,c3f011cf-9229-4dc2-904b-0f6a3e2fdf2b,temperature,5.819250943219067,[5.15888437]
5184,f9c9f80b-679c-41ba-a720-1d9d7fd54d4f,acceleration_x,5.82925094321907,[-9.85386027]
5185,54f15804-28c3-4b22-82df-d95b40b9a3d2,acceleration_x,5.82925094321907,[-9.76974768]
5186,cc6a95a0-bfd3-4cb0-88b8-00ad2bfbdd33,acceleration_x,5.82925094321907,[-9.23660471]
5187,a2cd99cf-32eb-47f0-845d-6b7d3515d298,pressure,5.82925094321907,[77677.03916864]
5188,ff1f6c69-0601-49a0-9bf8-11b0082debd7,pressure,5.82925094321907,[77670.35484014]
5189,e99c3424-957e-4c60-a8f8-821857457f32,pressure,5.82925094321907,[77666.6345869]
5190,f03e12b2-39f3-4039-b72b-3cfd3273083c,temperature,5.82925094321907,[4.90791709]
5191,7511b0fa-77ab-4ed8-8e20-11fa19c1ad84,temperature,5.82925094321907,[5.646361]
5192,c3f011cf-9229-4dc2-904b-0f6a3e2fdf2b,temperature,5.82925094321907,[5.13031636]
5193,f9c9f80b-679c-41ba-a720-1d9d7fd54d4f,acceleration_x,5.839250943219073,[-8.93535036]
5194,54f15804-28c3-4b22-82df-d95b40b9a3d2,acceleration_x,5.839250943219073,[-9.90033658]
5195,cc6a95a0-bfd3-4cb0-88b8-00ad2bfbdd33,acceleration_x,5.839250943219073,[-9.67310849]
5196,a2cd99cf-32eb-47f0-845d-6b7d3515d298,pressure,5.839250943219073,[77653.68629293]
5197,ff1f6c69-0601-49a0-9bf8-11b0082debd7,pressure,5.839250943219073,[77655.67480321]
5198,e99c3424-957e-4c60-a8f8-821857457f32,pressure,5.839250943219073,[77650.78896443]
5199,f03e12b2-39f3-4039-b72b-3cfd3273083c,temperature,5.839250943219073,[4.93161761]
5200,7511b0fa-77ab-4ed8-8e20-11fa19c1ad84,temperature,5.839250943219073,[5.30779637]
5201,c3f011cf-9229-4dc2-904b-0f6a3e2fdf2b,temperature,5.839250943219073,[5.69618023]
